"Date","Price","Open","High","Low","Change %"
"Aug 31, 2015","15.400","15.400","15.400","15.400","0.00%"
"Aug 30, 2015","15.400","15.400","15.400","15.400","0.00%"
"Aug 28, 2015","15.400","15.400","15.400","15.400","0.00%"
"Aug 27, 2015","15.400","15.400","15.400","15.400","-0.65%"
"Aug 26, 2015","15.500","15.500","15.500","15.500","0.00%"
"Aug 25, 2015","15.500","15.500","15.500","15.500","0.00%"
"Aug 24, 2015","15.500","15.500","15.500","15.500","0.00%"
"Aug 23, 2015","15.500","15.500","15.500","15.500","0.00%"
"Aug 21, 2015","15.500","15.500","15.500","15.500","0.00%"
"Aug 20, 2015","15.500","15.500","15.500","15.500","0.00%"
"Aug 19, 2015","15.500","15.500","15.500","15.500","0.00%"
"Aug 18, 2015","15.500","15.500","15.500","15.500","0.00%"
"Aug 17, 2015","15.500","15.500","15.500","15.500","0.00%"
"Aug 16, 2015","15.500","15.500","15.500","15.500","0.00%"
"Aug 14, 2015","15.500","15.500","15.500","15.500","0.00%"
"Aug 13, 2015","15.500","15.500","15.500","15.500","0.00%"
"Aug 12, 2015","15.500","15.500","15.500","15.500","0.00%"
"Aug 11, 2015","15.500","15.500","15.500","15.500","0.00%"
"Aug 10, 2015","15.500","15.500","15.500","15.500","0.00%"
"Aug 07, 2015","15.500","15.500","15.500","15.500","0.00%"
"Aug 06, 2015","15.500","15.500","15.500","15.500","0.00%"
"Aug 05, 2015","15.500","15.500","15.500","15.500","0.00%"
"Aug 04, 2015","15.500","15.500","15.500","15.500","0.00%"
"Aug 03, 2015","15.500","15.500","15.500","15.500","0.00%"
"Aug 02, 2015","15.500","15.500","15.500","15.500","0.00%"
"Jul 31, 2015","15.500","15.500","15.500","15.500","0.00%"
"Jul 30, 2015","15.500","15.500","15.500","15.500","3.33%"
"Jul 29, 2015","15.000","15.000","15.000","15.000","0.00%"
"Jul 28, 2015","15.000","15.000","15.000","15.000","0.00%"
"Jul 27, 2015","15.000","15.000","15.000","15.000","0.00%"
"Jul 26, 2015","15.000","15.000","15.000","15.000","0.00%"
"Jul 24, 2015","15.000","15.000","15.000","15.000","0.00%"
"Jul 23, 2015","15.000","15.000","15.000","15.000","0.00%"
"Jul 22, 2015","15.000","15.000","15.000","15.000","0.00%"
"Jul 21, 2015","15.000","15.000","15.000","15.000","0.00%"
"Jul 20, 2015","15.000","15.000","15.000","15.000","0.00%"
"Jul 18, 2015","15.000","15.000","15.000","15.000","0.00%"
"Jul 17, 2015","15.000","15.000","15.000","15.000","0.00%"
"Jul 16, 2015","15.000","15.000","15.000","15.000","0.00%"
"Jul 15, 2015","15.000","15.000","15.000","15.000","0.00%"
"Jul 14, 2015","15.000","15.000","15.000","15.000","0.00%"
"Jul 13, 2015","15.000","15.000","15.000","15.000","0.00%"
"Jul 12, 2015","15.000","15.000","15.000","15.000","0.00%"
"Jul 10, 2015","15.000","15.000","15.000","15.000","0.00%"
"Jul 09, 2015","15.000","15.000","15.000","15.000","0.00%"
"Jul 08, 2015","15.000","15.000","15.000","15.000","0.00%"
"Jul 07, 2015","15.000","15.000","15.000","15.000","0.00%"
"Jul 06, 2015","15.000","15.000","15.000","15.000","0.00%"
"Jul 03, 2015","15.000","15.000","15.000","15.000","0.00%"
"Jul 02, 2015","15.000","15.000","15.000","15.000","0.00%"
"Jul 01, 2015","15.000","15.000","15.000","15.000","0.00%"
"Jun 30, 2015","15.000","14.650","15.000","14.650","2.39%"
"Jun 29, 2015","14.650","14.650","14.650","14.650","0.00%"
"Jun 28, 2015","14.650","14.650","14.650","14.650","0.00%"
"Jun 26, 2015","14.650","14.650","14.650","14.650","0.00%"
"Jun 25, 2015","14.650","14.650","14.650","14.650","0.00%"
"Jun 24, 2015","14.650","14.650","14.650","14.650","0.00%"
"Jun 23, 2015","14.650","14.650","14.650","14.650","0.00%"
"Jun 22, 2015","14.650","14.650","14.650","14.650","0.00%"
"Jun 21, 2015","14.650","14.650","14.650","14.650","0.00%"
"Jun 19, 2015","14.650","14.650","14.650","14.650","0.00%"
"Jun 18, 2015","14.650","14.650","14.650","14.650","0.00%"
"Jun 17, 2015","14.650","14.650","14.650","14.650","0.00%"
"Jun 16, 2015","14.650","14.650","14.650","14.650","0.00%"
"Jun 15, 2015","14.650","14.650","14.650","14.650","0.00%"
"Jun 14, 2015","14.650","14.650","14.650","14.650","0.00%"
"Jun 12, 2015","14.650","14.650","14.650","14.650","0.00%"
"Jun 11, 2015","14.650","14.650","14.650","14.650","0.00%"
"Jun 10, 2015","14.650","14.650","14.650","14.650","0.69%"
"Jun 09, 2015","14.550","14.550","14.550","14.550","0.00%"
"Jun 08, 2015","14.550","14.550","14.550","14.550","0.00%"
"Jun 07, 2015","14.550","14.550","14.550","14.550","0.00%"
"Jun 05, 2015","14.550","14.550","14.550","14.550","0.00%"
"Jun 04, 2015","14.550","14.550","14.550","14.550","0.00%"
"Jun 03, 2015","14.550","14.550","14.550","14.550","0.00%"
"Jun 02, 2015","14.550","14.550","14.550","14.550","0.00%"
"Jun 01, 2015","14.550","14.550","14.550","14.550","0.00%"
"May 31, 2015","14.550","14.550","14.550","14.550","0.00%"
"May 30, 2015","14.550","14.550","14.550","14.550","0.00%"
"May 29, 2015","14.550","14.550","14.550","14.550","0.00%"
"May 28, 2015","14.550","14.550","14.550","14.550","1.39%"
"May 27, 2015","14.350","14.350","14.350","14.350","0.00%"
"May 26, 2015","14.350","14.350","14.350","14.350","0.00%"
"May 25, 2015","14.350","14.350","14.350","14.350","0.00%"
"May 24, 2015","14.350","14.350","14.350","14.350","0.00%"
"May 22, 2015","14.350","14.350","14.350","14.350","0.00%"
"May 21, 2015","14.350","14.350","14.350","14.350","0.00%"
"May 20, 2015","14.350","14.350","14.350","14.350","0.00%"
"May 19, 2015","14.350","14.350","14.350","14.350","0.00%"
"May 18, 2015","14.350","14.350","14.350","14.350","0.00%"
"May 17, 2015","14.350","14.350","14.350","14.350","0.00%"
"May 15, 2015","14.350","14.350","14.350","14.350","0.00%"
"May 14, 2015","14.350","14.350","14.350","14.350","0.00%"
"May 13, 2015","14.350","14.350","14.350","14.350","0.00%"
"May 12, 2015","14.350","14.350","14.350","14.350","0.00%"
"May 11, 2015","14.350","14.350","14.350","14.350","0.00%"
"May 10, 2015","14.350","14.350","14.350","14.350","0.00%"
"May 08, 2015","14.350","14.350","14.350","14.350","0.00%"
"May 07, 2015","14.350","14.350","14.350","14.350","0.00%"
"May 06, 2015","14.350","14.350","14.350","14.350","0.00%"
"May 05, 2015","14.350","14.350","14.350","14.350","0.00%"
"May 04, 2015","14.350","14.350","14.350","14.350","0.00%"
"May 01, 2015","14.350","14.350","14.350","14.350","0.00%"
"Apr 30, 2015","14.350","14.350","14.350","14.350","0.00%"
"Apr 29, 2015","14.350","14.350","14.350","14.350","-0.69%"
"Apr 28, 2015","14.450","14.450","14.450","14.450","0.00%"
"Apr 27, 2015","14.450","14.450","14.450","14.450","0.00%"
"Apr 24, 2015","14.450","14.450","14.450","14.450","0.00%"
