"Date","Price","Open","High","Low","Change %"
"Mar 25, 2010","5.993","5.993","5.993","5.993","-0.78%"
"Mar 24, 2010","6.040","6.040","6.040","6.040","0.00%"
"Mar 23, 2010","6.040","6.040","6.040","6.040","-1.31%"
"Mar 22, 2010","6.120","6.120","6.120","6.120","0.21%"
"Mar 19, 2010","6.107","6.107","6.107","6.107","0.21%"
"Mar 18, 2010","6.094","6.094","6.094","6.094","-2.48%"
"Mar 17, 2010","6.249","6.249","6.249","6.249","-1.93%"
"Mar 16, 2010","6.372","6.372","6.372","6.372","-0.96%"
"Mar 15, 2010","6.434","6.434","6.434","6.434","-1.80%"
"Mar 12, 2010","6.552","6.552","6.552","6.552","0.32%"
"Mar 11, 2010","6.531","6.531","6.531","6.531","0.00%"
"Mar 10, 2010","6.531","6.531","6.531","6.531","0.00%"
"Mar 09, 2010","6.531","6.531","6.531","6.531","1.71%"
"Mar 08, 2010","6.421","6.421","6.421","6.421","3.28%"
"Mar 05, 2010","6.217","6.217","6.217","6.217","2.66%"
"Mar 04, 2010","6.056","6.056","6.056","6.056","2.23%"
"Mar 03, 2010","5.924","5.924","5.924","5.924","-8.52%"
"Mar 02, 2010","6.476","6.476","6.476","6.476","-2.92%"
"Mar 01, 2010","6.671","6.671","6.671","6.671","-2.26%"
"Feb 25, 2010","6.825","6.825","6.825","6.825","-3.27%"
"Feb 24, 2010","7.056","7.056","7.056","7.056","-0.62%"
"Feb 23, 2010","7.100","7.100","7.100","7.100","-12.19%"
"Feb 22, 2010","8.086","8.086","8.086","8.086","12.40%"
"Feb 19, 2010","7.194","7.194","7.194","7.194","-0.61%"
"Feb 18, 2010","7.238","7.238","7.238","7.238","0.92%"
"Feb 17, 2010","7.172","7.172","7.172","7.172","0.06%"
"Feb 16, 2010","7.168","7.168","7.168","7.168","-2.83%"
"Feb 15, 2010","7.377","7.377","7.377","7.377","-2.82%"
"Feb 12, 2010","7.591","7.591","7.591","7.591","-0.08%"
"Feb 11, 2010","7.597","7.597","7.597","7.597","0.16%"
"Feb 10, 2010","7.585","7.585","7.585","7.585","-1.35%"
"Feb 09, 2010","7.689","7.689","7.689","7.689","-2.00%"
"Feb 08, 2010","7.846","7.846","7.846","7.846","0.00%"
"Feb 05, 2010","7.846","7.846","7.846","7.846","-0.10%"
"Feb 04, 2010","7.854","7.854","7.854","7.854","-0.03%"
"Feb 03, 2010","7.856","7.856","7.856","7.856","-0.48%"
"Feb 02, 2010","7.894","7.894","7.894","7.894","-0.30%"
"Feb 01, 2010","7.918","7.918","7.918","7.918","-0.85%"
"Jan 29, 2010","7.986","7.986","7.986","7.986","-1.96%"
"Jan 28, 2010","8.146","8.146","8.146","8.146","-1.24%"
"Jan 27, 2010","8.248","8.248","8.248","8.248","-0.10%"
"Jan 26, 2010","8.256","8.256","8.256","8.256","0.74%"
"Jan 25, 2010","8.195","8.195","8.195","8.195","0.47%"
"Jan 22, 2010","8.157","8.157","8.157","8.157","-0.48%"
"Jan 21, 2010","8.196","8.196","8.196","8.196","-0.21%"
"Jan 20, 2010","8.213","8.213","8.213","8.213","-1.49%"
"Jan 19, 2010","8.337","8.337","8.337","8.337","-0.19%"
"Jan 18, 2010","8.353","8.353","8.353","8.353","0.00%"
"Jan 15, 2010","8.353","8.353","8.353","8.353","-0.75%"
"Jan 14, 2010","8.416","8.416","8.416","8.416","-0.01%"
"Jan 13, 2010","8.417","8.417","8.417","8.417","-0.38%"
"Jan 12, 2010","8.449","8.449","8.449","8.449","-0.01%"
"Jan 11, 2010","8.450","8.450","8.450","8.450","-0.14%"
"Jan 08, 2010","8.462","8.462","8.462","8.462","-0.24%"
"Jan 07, 2010","8.482","8.482","8.482","8.482","-2.19%"
"Jan 06, 2010","8.672","8.672","8.672","8.672","0.09%"
"Jan 05, 2010","8.664","8.664","8.664","8.664","1.83%"
"Jan 04, 2010","8.508","8.508","8.508","8.508","-1.48%"
"Dec 29, 2009","8.636","8.636","8.636","8.636","-0.50%"
"Dec 22, 2009","8.679","8.679","8.679","8.679","0.45%"
"Dec 21, 2009","8.640","8.640","8.640","8.640","3.26%"
"Dec 18, 2009","8.367","8.367","8.367","8.367","-3.15%"
"Dec 17, 2009","8.639","8.639","8.639","8.639","-0.13%"
"Dec 16, 2009","8.650","8.650","8.650","8.650","-0.01%"
"Dec 15, 2009","8.651","8.651","8.651","8.651","1.09%"
"Dec 14, 2009","8.558","8.558","8.558","8.558","1.37%"
"Dec 11, 2009","8.442","8.442","8.442","8.442","0.82%"
